1000.0,106.75,106.75
289.84116200225856,106.75,106.75
226.63263869310384,106.36471065970282,106.36471065970282
144.9012930790661,105.90404168433115,105.90404168433115
118.48399077598425,104.98868060878223,104.98868060878223
96.88289022060947,103.63045212653317,103.63045212653317
80.11074189348564,102.28979491577067,102.28979491577067
67.74027117273268,100.96648165864231,100.96648165864231
57.92410909987528,99.22865607250871,99.22865607250871
49.530395390043985,97.52074177691642,97.52074177691642
42.82925122093143,95.8422239415458,95.8422239415458
36.622915400814165,94.1925965972884,94.1925965972884
31.315932317763792,92.57136248372835,92.57136248372835
26.77797783703913,90.9780328992493,90.9780328992493
22.642999393892328,89.41212755372133,89.41212755372133
18.933629621997472,88.63931114423399,88.63931114423399
16.189979887808114,87.49259288522805,87.49259288522805
13.387206937154458,87.11365965759012,87.11365965759012
10.824831240729583,86.736367601922,86.736367601922
6.921033321543883,86.36070961025526,86.36070961025526
5.659243135826472,85.98667860540617,85.98667860540617
4.525152874007613,85.61426754084266,85.61426754084266
3.538308117595931,85.24346940055139,85.24346940055139
2.925764164373102,84.87427719890553,84.87427719890553
2.419262444375791,84.14068282018674,84.14068282018674
2.0229395533426957,82.69246130114804,82.69246130114804
1.7105630364986564,81.62267686767167,81.62267686767167
1.4464228043791783,80.21779503026231,80.21779503026231
1.236823397292982,78.49564790320545,78.49564790320545
1.0575967908276522,77.14458819422676,77.14458819422676
0.9043416985941714,75.48841787844401,75.48841787844401
0.7732946193758512,73.86780287741605,73.86780287741605
0.6686728272655824,72.5963972017597,72.5963972017597
0.5782056912334834,71.03786923638094,71.03786923638094
0.4944185926828496,69.81517211239111,69.81517211239111
0.43233434320884223,68.316352579481,68.316352579481
0.3780460263510334,67.14049794422361,67.14049794422361
0.3232638266134677,65.69909936676096,65.69909936676096
0.27642005023946387,64.56829264764106,64.56829264764106
0.23636434974752066,63.45694926741513,63.45694926741513
0.2043857723179721,62.636012806533245,62.636012806533245
0.1767336908913528,61.82569672183683,61.82569672183683
0.15454120315293346,61.291318285019976,61.291318285019976
0.14944298184450722,23.182091298903106,23.182091298903106
0.13665498713894728,22.005552230834347,22.005552230834347
0.1292243068568367,20.888724953252648,20.888724953252648
0.12219767336885308,19.82857896932205,19.82857896932205
0.1142682057035943,18.822237586187306,18.822237586187306
0.10566511351492128,18.02274622592935,18.02274622592935
0.09343569503679543,17.257213975591252,17.257213975591252
0.08262167915786355,16.5241983916347,16.5241983916347
0.07144349696951187,15.96026778341455,15.96026778341455
0.06177765099012588,15.41558275209624,15.41558275209624
0.053419531850274114,14.954253846384606,14.954253846384606
0.046711629697604735,14.381344616815507,14.381344616815507
0.040846040267104144,13.77048415363264,13.77048415363264
0.036118620752902335,13.358386700823019,13.358386700823019
0.03158319774360087,12.79097728919545,12.79097728919545
0.02792783667658847,12.354452416310982,12.354452416310982
0.0246955380441877,11.829686010492836,11.829686010492836
0.021837337648252898,11.525586843407318,11.525586843407318
0.01952707258662527,11.278151018693734,11.278151018693734
0.01707505386421704,11.084032544101063,11.084032544101063
0.01460072813105708,10.893255218435707,10.893255218435707
0.012208840968280982,10.799101476478468,10.799101476478468
0.003859048053223831,10.752330221414173,10.752330221414173
0.0023859493918992046,10.752330221414173,10.752330221414173
0.0014587672813958696,10.705761534156569,10.705761534156569
0.0011534656398189058,10.613228357550478,10.613228357550478
0.0009019180015292356,10.567262124929387,10.567262124929387
0.0006973859498873462,10.4305544692636,10.4305544692636
0.0005514318432737238,10.206627229602176,10.206627229602176
0.0004768266588790231,9.987507347863117,9.987507347863117
0.0004169514323324923,9.7307640443594,9.7307640443594
0.0003565314965183989,9.43955982584148,9.43955982584148
0.00031881250929368266,9.077922862683886,9.177896266691807
0.0002787791536404905,8.654683217338931,8.810243510376965
0.00025208906156904277,8.287067814210143,8.422413500221246
0.00022291289807350632,7.764714064803063,7.9569351829096036
0.00020157139640165708,7.306932081707807,7.565669299560408
0.00018432271788787607,6.846358637021117,7.159145374333317
0.000168550027117311,6.498891779669621,6.798230006581538
0.0001576127322150512,6.142341188763806,6.517882654224773
0.00014412564329178512,5.7054309617169015,6.102217304763224
0.0001332746267001066,5.369057532087712,5.772329909607669
0.00012324056785712264,5.008845132757802,5.459895801059987
0.00011396195916513464,4.6727995395862445,5.172457668168951
0.00010305133280358654,4.3973066596185335,4.847814832318011
9.529274316952357e-05,4.102289447941408,4.638562193349452
8.616949254004752e-05,3.894089775970585,4.396412451710839
7.879587752793887e-05,3.728684833136263,4.249411465885953
7.045972566797784e-05,3.585835983771938,4.107970193759911
6.371396817194782e-05,3.4785257498964155,4.030516450550785
5.3875440165029345e-05,3.418653691854101,3.9519826679880965
4.6068414251921665e-05,3.3744268972292173,3.9254573932205323
1e-05,3.363,3.909
